skill	source	installed_at_utc
acquire-codebase-knowledge	github/awesome-copilot	2026-08-05T21:46:09Z
quality-playbook	github/awesome-copilot	2026-08-05T21:46:09Z
threat-model-analyst	github/awesome-copilot	2026-08-05T21:46:09Z
refactor	github/awesome-copilot	2026-08-05T21:46:09Z
code-review	getsentry/skills	2026-08-05T21:46:09Z
code-simplifier	getsentry/skills	2026-08-05T21:46:09Z
find-bugs	getsentry/skills	2026-08-05T21:46:09Z
security-threat-model	openai/skills	2026-08-05T21:46:09Z
supabase	supabase/agent-skills	2026-08-05T21:46:09Z
supabase-postgres-best-practices	supabase/agent-skills	2026-08-05T21:46:09Z
vercel-react-best-practices	vercel-labs/agent-skills	2026-08-05T21:46:09Z
web-design-guidelines	vercel-labs/agent-skills	2026-08-05T21:46:09Z
api-and-interface-design	addyosmani/agent-skills	2026-08-05T21:46:09Z
source-driven-development	addyosmani/agent-skills	2026-08-05T21:46:09Z
security-and-hardening	addyosmani/agent-skills	2026-08-05T21:46:09Z
test-driven-development	addyosmani/agent-skills	2026-08-05T21:46:09Z
code-review-and-quality	addyosmani/agent-skills	2026-08-05T21:46:09Z
debugging-and-error-recovery	addyosmani/agent-skills	2026-08-05T21:46:09Z
incremental-implementation	addyosmani/agent-skills	2026-08-05T21:46:09Z
doubt-driven-development	addyosmani/agent-skills	2026-08-05T21:46:09Z
performance-optimization	addyosmani/agent-skills	2026-08-05T21:46:09Z
ci-cd-and-automation	addyosmani/agent-skills	2026-08-05T21:46:09Z
observability-and-instrumentation	addyosmani/agent-skills	2026-08-05T21:46:09Z
documentation-and-adrs	addyosmani/agent-skills	2026-08-05T21:46:09Z
api-design-principles	wshobson/agents	2026-08-05T21:46:09Z
openapi-spec-generation	wshobson/agents	2026-08-05T21:46:09Z
auth-implementation-patterns	wshobson/agents	2026-08-05T21:46:09Z
error-handling-patterns	wshobson/agents	2026-08-05T21:46:09Z
e2e-testing-patterns	wshobson/agents	2026-08-05T21:46:09Z
secrets-management	wshobson/agents	2026-08-05T21:46:09Z
sast-configuration	wshobson/agents	2026-08-05T21:46:09Z
deployment-pipeline-design	wshobson/agents	2026-08-05T21:46:09Z
nextjs-app-router-patterns	wshobson/agents	2026-08-05T21:46:09Z
nodejs-backend-patterns	wshobson/agents	2026-08-05T21:46:09Z
sql-optimization-patterns	wshobson/agents	2026-08-05T21:46:09Z
vercel-composition-patterns	vercel-labs/agent-skills	2026-08-25T19:27:39Z
vercel-react-view-transitions	vercel-labs/agent-skills	2026-08-25T19:27:39Z
gridex-design	local/gridex-web	2026-08-25T19:27:39Z
